#ev;kozepho;maxho;maxho_nap;minho;minho_nap
1901;10.8;27.4;1901-07-30;-12.2;1901-01-10
1902;10.1;25.4;1902-08-07;-17.6;1902-12-15
1903;11.4;28.7;1903-07-20;-11.5;1903-01-23
1904;11.3;28.5;1904-08-07;-6.5;1904-01-12
1905;11.0;28.9;1905-08-05;-11.0;1905-01-01
1906;11.1;26.9;1906-08-04;-8.0;1906-12-31
1907;10.7;27.1;1907-07-02;-12.4;1907-01-22
1908;10.4;27.4;1908-06-20;-7.9;1908-01-03
1909;10.9;26.6;1909-07-26;-8.8;1909-01-25
1910;11.1;27.7;1910-07-22;-2.9;1910-01-24
1911;11.1;26.7;1911-08-22;-9.6;1911-02-07
1912;9.6;26.3;1912-07-29;-12.8;1912-01-15
1913;10.2;25.4;1913-06-05;-10.4;1913-01-15
1914;9.9;25.1;1914-07-07;-10.0;1914-01-25
1915;10.5;26.1;1915-06-13;-7.7;1915-11-28
1916;11.3;25.6;1916-07-04;-2.9;1916-11-18
1917;10.6;28.5;1917-08-02;-14.1;1917-02-09
1918;10.9;28.5;1918-07-18;-6.4;1918-01-10
1919;10.3;25.5;1919-07-08;-8.0;1919-02-09
1920;11.0;25.9;1920-07-09;-4.8;1920-10-30
1921;11.3;29.6;1921-08-12;-6.2;1921-12-13
1922;9.9;30.5;1922-07-11;-9.3;1922-02-12
1923;11.3;27.5;1923-07-15;-10.2;1923-12-28
1924;10.0;27.1;1924-07-05;-8.6;1924-01-24
1925;10.7;24.4;1925-07-23;-13.1;1925-12-08
1926;11.5;24.7;1926-07-14;-9.6;1926-01-12
1927;11.0;28.2;1927-07-09;-15.2;1927-12-21
1928;11.0;30.1;1928-07-27;-11.0;1928-01-03
1929;10.0;28.7;1929-07-24;-19.2;1929-02-10
1930;11.7;27.0;1930-06-27;-4.8;1930-02-10
1931;10.4;30.3;1931-07-15;-6.7;1931-12-19
1932;10.6;27.2;1932-07-08;-9.3;1932-02-12
1933;10.1;29.4;1933-07-29;-9.6;1933-12-19
1934;12.3;28.1;1934-07-22;-7.6;1934-01-27
1935;10.8;28.5;1935-06-27;-11.8;1935-02-12
1936;11.3;29.2;1936-07-28;-7.7;1936-02-11
1937;11.3;26.3;1937-06-11;-9.4;1937-12-28
1938;11.3;28.4;1938-07-02;-14.1;1938-01-05
1939;11.3;28.4;1939-07-16;-10.4;1939-12-29
1940;8.9;25.3;1940-07-08;-14.3;1940-02-17
1941;9.9;26.3;1941-08-19;-8.8;1941-01-30
1942;10.0;26.4;1942-07-10;-20.6;1942-01-24
1943;11.4;28.0;1943-08-22;-11.6;1943-01-11
1944;10.9;26.8;1944-08-31;-8.2;1944-12-27
1945;11.3;29.2;1945-07-28;-10.1;1945-01-29
1946;11.7;29.9;1946-08-19;-9.4;1946-12-20
1947;11.6;30.1;1947-08-05;-14.3;1947-01-07
1948;11.4;29.2;1948-08-10;-7.2;1948-12-22
1949;11.9;28.1;1949-08-02;-5.4;1949-02-02
1950;12.0;32.0;1950-07-05;-11.7;1950-02-04
1951;12.2;27.7;1951-07-12;-5.1;1951-12-24
1952;11.3;29.7;1952-08-15;-4.9;1952-03-07
1953;11.4;26.4;1953-07-18;-7.1;1953-12-19
1954;10.3;26.9;1954-08-15;-15.3;1954-01-27
1955;10.5;26.3;1955-07-03;-7.4;1955-01-06
1956;9.7;26.1;1956-08-07;-15.7;1956-02-09
1957;11.2;30.5;1957-07-08;-8.0;1957-01-22
1958;11.2;28.1;1958-07-16;-6.5;1958-01-25
1959;11.3;28.0;1959-07-12;-5.2;1959-02-13
1960;11.2;27.1;1960-07-20;-8.8;1960-02-02
1961;11.9;29.0;1961-08-10;-8.2;1961-12-16
1962;10.5;28.1;1962-08-15;-7.1;1962-12-28
1963;10.4;28.4;1963-06-28;-13.6;1963-01-18
1964;10.5;27.1;1964-07-22;-12.5;1964-01-21
1965;10.0;26.9;1965-06-26;-6.5;1965-02-07
1966;11.6;25.9;1966-08-15;-9.2;1966-01-21
1967;11.6;27.4;1967-06-27;-9.9;1967-01-11
1968;11.4;29.2;1968-07-09;-10.7;1968-01-11
1969;10.9;27.7;1969-07-27;-10.6;1969-01-12
1970;10.8;25.7;1970-07-24;-7.0;1970-12-27
1971;11.4;27.8;1971-08-07;-7.9;1971-03-05
1972;11.4;27.6;1972-07-16;-8.7;1972-01-17
1973;11.4;26.4;1973-07-17;-9.4;1973-12-03
1974;11.9;28.3;1974-08-04;-3.1;1974-01-14
1975;11.9;25.7;1975-06-23;-4.6;1975-11-26
1976;11.2;28.5;1976-07-19;-7.8;1976-12-31
1977;11.6;26.4;1977-06-14;-5.4;1977-01-01
1978;10.6;24.4;1978-08-07;-5.9;1978-12-07
1979;11.7;27.9;1979-08-02;-8.4;1979-01-02
1980;10.1;27.2;1980-08-05;-11.8;1980-01-14
1981;11.5;27.4;1981-08-02;-6.7;1981-01-10
1982;11.6;26.9;1982-07-21;-9.9;1982-01-11
1983;12.2;28.4;1983-07-28;-6.3;1983-12-13
1984;11.0;27.4;1984-07-13;-4.1;1984-01-12
1985;10.5;27.0;1985-08-16;-12.5;1985-01-08
1986;11.2;28.0;1986-08-04;-7.3;1986-02-08
1987;10.7;28.5;1987-07-19;-16.5;1987-01-12
1988;11.3;28.8;1988-07-24;-5.6;1988-11-24
1989;11.9;27.4;1989-07-08;-5.0;1989-12-11
1990;12.0;27.7;1990-06-30;-8.3;1990-01-08
1991;10.9;28.7;1991-07-13;-8.1;1991-02-01
1992;12.3;30.3;1992-08-20;-7.5;1992-12-26
1993;11.4;27.8;1993-07-04;-7.3;1993-01-02
1994;12.6;30.3;1994-07-31;-4.8;1994-02-16
1995;11.4;27.9;1995-07-22;-7.2;1995-01-18
1996;10.6;27.8;1996-06-10;-9.7;1996-12-28
1997;11.4;28.0;1997-06-29;-7.7;1997-01-01
1998;11.8;30.5;1998-07-23;-8.2;1998-12-26
1999;11.7;28.1;1999-07-06;-8.0;1999-12-25
2000;12.7;29.5;2000-08-19;-6.6;2000-12-24
